id,title,overview,premiere_date,popularity,genre,country_origin,original_language,rating,votes
1114,Locke & Key,"After their dad's murder, three siblings move with their mom to his ancestral estate, where they discover magical keys that unlock powers — and secrets.",2/7/20,8.3128,"Sci-Fi & Fantasy, Drama, Mystery",United States,English,7.765,1379
1115,In the Dark,"Murphy is a flawed and irreverent woman who just happens to be blind and is the only “witness” to the murder of her drug-dealing friend, Tyson. When the police dismiss her story, she sets out with her dog, Pretzel, to find the killer while also managing her colorful dating life and the job she hates at Guiding Hope, the guide-dog school owned by her overprotective parents.",4/4/19,6.0901,"Drama, Comedy",United States,English,7.8,202
1116,Your Friendly Neighborhood Spider-Man,"Peter Parker is on his way to becoming a hero, but his path to get there is anything but ordinary.",1/29/25,6.8226,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",United States,English,7.764,220
1117,11.22.63,"An English teacher travels back in time to prevent the Kennedy assassination, but discovers he is attached to the life he has made in a bygone era.",2/15/16,6.5501,"Drama, Sci-Fi & Fantasy",United States,English,7.763,1639
1118,NCIS: Hawaiʻi,"Jane Tennant, the first female Special Agent in Charge of NCIS Pearl Harbor, and her unwavering team of specialists balance duty to family and country while investigating high-stakes crimes involving military personnel, national security and the mysteries of the sun-drenched island paradise itself.",9/20/21,8.5982,"Crime, Drama",United States,English,7.8,307
1119,Wild at Heart,"Corazón indomable is a Mexican telenovela produced by Nathalie Lartilleux for Televisa. It is a remake of Marimar, produced in 1994, and starring Thalía and Eduardo Capetillo.

Ana Brenda Contreras and Daniel Arenas star as the protagonists, while Ingrid Martz, Elizabeth Álvarez, Carlos de la Mota and René Strickler star as the antagonists.",2/25/13,4.3017,"Drama, Soap",Mexico,Spanish,7.8,487
1120,Mischievous Kiss,"A clumsy high-school girl - Oh Ha-ni - is at the bottom of her class, and she has had a crush on a popular genius, Baek Seung-Jo, ever since she first laid eyes on him.",9/1/10,3.6852,Comedy,South Korea,Korean,7.762,421
1121,Evil,"Skeptical forensic psychologist Kristen Bouchard joins priest-in-training David Acosta and technology expert Ben Shakir as they investigate supposed miracles, demonic possessions, and other extraordinary occurrences to assess for a scientific explanation or if something truly supernatural is at work.",9/26/19,26.761,"Crime, Drama, Mystery",United States,English,7.8,928
1122,DreamWorks Dragons,"From the creators of ""How to Train Your Dragon"" comes a new series that takes Hiccup and Toothless to the edge of adventure.",8/7/12,9.107,"Animation, Action & Adventure, Sci-Fi & Fantasy, Comedy",United States,English,7.761,733
1123,Life on Mars,"A detective chief inspector from 2006 is investigating a serial killer when he is knocked over by a speeding car. Waking up, he finds himself mysteriously transported back in time to 1973. Initially struggling to come to terms with his situation, he has to come to terms with the old-fashioned technology and attitude of the day, while figuring out how he came to be trapped in the past.",1/9/06,4.4743,"Crime, Drama, Mystery, Sci-Fi & Fantasy",United Kingdom,English,7.761,295
1124,The O.C.,"Ryan Atwood, a teen from the wrong side of the tracks, moves in with a wealthy family willing to give him a chance. But Ryan's arrival disturbs the status quo of the affluent, privileged community of Newport Beach, California.",8/5/03,26.0873,Drama,United States,English,7.8,888
1125,Blood of Zeus,"In a brewing war between the gods of Olympus and the titans, Heron, a commoner living on the outskirts of ancient Greece, becomes mankind's best hope of surviving an evil demon army, when he discovers the secrets of his past.",10/27/20,6.2594,"Animation, Action & Adventure, Sci-Fi & Fantasy",United States,English,7.76,581
1126,The Capture,"When soldier Shaun Emery's conviction for a murder in Afghanistan is overturned due to flawed video evidence, he returns to life as a free man with his young daughter. But when damning CCTV footage from a night out in London comes to light, Shaun's life takes a shocking turn and he must soon fight for his freedom once again.",9/3/19,5.7072,"Crime, Drama, Mystery",United Kingdom,English,7.759,266
1127,Mi marido tiene familia,"Julieta is quite happy in her relationship with her live in boyfriend, Robert... and thrilled that she won't have to deal with in-laws since Robert doesn't know his family. Things start going downhill for the couple when they rent an apartment from a very eccentric family dealing with a traumatic incident from their past.",6/5/17,5.5871,"Soap, Comedy, Drama",Mexico,Spanish,7.8,245
1128,Babylon Berlin,"Beneath the decadence of 1929 Berlin, lies an underworld city of sin. Police investigator Gereon Rath has been transferred from Cologne to the epicenter of political and social changes in the Golden Twenties.",10/13/17,17.2568,"Drama, Crime, Mystery",Germany,German,7.759,375
1129,The Night Manager,"Former British soldier Jonathan Pine navigates the shadowy recesses of Whitehall and Washington where an unholy alliance operates between the intelligence community and the secret arms trade. To infiltrate the inner circle of lethal arms dealer Richard Onslow Roper, Pine must himself become a criminal.",2/21/16,7.1357,"Drama, Mystery, Crime",United Kingdom,English,7.759,1125
1130,7SEEDS,"Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",6/28/19,4.2063,"Animation, Sci-Fi & Fantasy, Drama",Japan,Japanese,7.8,225
1131,Constantine,A man struggling with his faith is haunted by the sins of his past but is suddenly thrust into the role of defending humanity from the gathering forces of darkness.,10/24/14,5.4342,"Action & Adventure, Drama, Sci-Fi & Fantasy",United States,English,7.757,1576
1132,First Kill,"Falling in love is tricky for teens Juliette and Calliope: One's a vampire, the other's a vampire hunter — and both are ready to make their first kill.",6/10/22,2.8586,"Drama, Mystery",United States,English,7.755,326
